time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,R11,R21,R31,R12,R22,R32,vel.x,vel.y,vel.z,ang_vel_x,ang_vel_y,ang_vel_z,command_state_flag,roll,pitch,yaw
1681856260.057307,190,127,160,128,-0.22483503820143305,0.31306919103791164,2.9736030190524447,0.9919412818352444,0.030508789312497956,-0.12297035075878107,0.004997119430161066,-0.9792407399142752,-0.20263909319167367,0.0048010227553116,0.026628697768784185,-0.3084690019686513,-0.3456233114071915,-0.5038565355356284,0.08988471304516774,0,-2.9359576604182607,0.12328239914689387,0.03074695567158623
1681856260.0780215,188,127,160,128,-0.22483722791435332,0.3136968040165102,2.9697831942152084,0.992509765791323,0.02992857072888975,-0.11844258298002247,0.004918544007924401,-0.9785304866743476,-0.20604342885349775,-0.0030688999644187948,0.03319927202450601,-0.10934676819696527,-0.38703994092296296,-0.5245320693956932,0.09582250845891084,0,-2.9325698520454515,0.11872127745826755,0.030145299781134883
1681856260.0986464,187,127,160,128,-0.2249735696144699,0.3144972508745522,2.9693867244656675,0.9930551499893784,0.029334556025213555,-0.11393398484375653,0.004856096467142513,-0.9778114009471326,-0.2094308537558598,-0.00873817331138517,0.04307558128489946,0.03509210959484512,-0.4046457651563088,-0.5239858299902751,0.0967893022303168,0,-2.9291957563408184,0.11418193123514507,0.029531117282342742
1681856260.1198785,186,127,160,128,-0.2252092244245135,0.3155778087995383,2.971424101820129,0.9935950595802318,0.02870607511343144,-0.1092923548531099,0.004808268633922322,-0.9770587581083476,-0.2129156259096957,-0.012407252582951837,0.05663282866349158,0.1299597679937237,-0.4100558684073849,-0.512432805018866,0.09517920004118492,0,-2.9257211846732014,0.10951111232648823,0.028883086602837917
1681856260.1409204,185,127,160,128,-0.2254933374911585,0.31697947642339724,2.974778653724094,0.9941085609770568,0.0280662549503568,-0.10469218846307207,0.004777344343987737,-0.9763004885396748,-0.21636666346323294,-0.013947912532162982,0.07378739602085316,0.1720164355727156,-0.4154152833982032,-0.4961694396016585,0.09286028552735194,0,-2.9222764683872477,0.10488438358426544,0.02822508789246189
1681856260.1619177,185,127,160,128,-0.22578229524313964,0.3187803143248156,2.9783409642870424,0.9945995519397172,0.027410971375497768,-0.10010179783383427,0.004762835364257437,-0.975531575259154,-0.21980778209992147,-0.01333267843601807,0.09458510283173098,0.16058028161129026,-0.4205781622933459,-0.48008403319146403,0.09066137396707066,0,-2.9188376362565958,0.10026973236026904,0.027552832239278426
1681856260.1833286,185,127,160,128,-0.22603640071272785,0.3211065062378225,2.9810491027624018,0.9950781620980796,0.02672550055696768,-0.0954211660769692,0.00476485931233421,-0.9747349398203924,-0.2233138894226468,-0.010541606141456506,0.1190143574703008,0.09514766621827113,-0.425502344319503,-0.4643140085183879,0.08859611092431477,1,-2.9153294534251435,0.09556656741031122,0.026851234744176163
1681856260.2049944,185,127,160,128,-0.2262039571826545,0.32404301824615445,2.981650522796686,0.9951770878886328,0.027024440001266,-0.09429869237756497,0.0048277798122826395,-0.9736311814542848,-0.2280767744467153,-0.0055333561507691685,0.14723993338252014,-0.025288745757746246,-0.4314414461392525,-0.4446620910147589,0.08614668320547124,0,-2.910442082307536,0.09443900907174484,0.02714873615399907
1681856260.2264562,184,127,160,128,-0.22623325209022324,0.3276087143487997,2.9789373810466167,0.9952740275648552,0.027315127667999324,-0.09318526629952333,0.004894963659195027,-0.9725148628694138,-0.23278934861556785,0.0017194215689217208,0.1792690217531656,-0.2014151367913211,-0.4358832906986907,-0.42944994960193095,0.08434432665247713,0,-2.9056015932101884,0.09332065830489622,0.027437943642195636
1681856260.247899,183,127,160,128,-0.22607908086867154,0.3319027425187139,2.971756715306176,0.9953698318973088,0.02760015008717579,-0.0920713281314486,0.004966913598018347,-0.9713767327446824,-0.2374922585087257,0.0111688673483878,0.2148688915360649,-0.4320734261744226,-0.43947354252482695,-0.4167881961011524,0.08290589713674221,0,-2.9007661799910136,0.0922019103083267,0.027721434591689697
