time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,R11,R21,R31,R12,R22,R32,vel.x,vel.y,vel.z,ang_vel_x,ang_vel_y,ang_vel_z,command_state_flag,roll,pitch,yaw
1681856771.5273385,57,111,165,127,-0.33200682448785296,0.27687586126701136,3.7437525054859178,0.99934517751809,0.01555340549122813,0.032669676291065125,0.025053145727060955,-0.9488896562379159,-0.3146120788747134,-0.0008154085412028188,9.501917010869652e-05,0.002057462173164399,-0.7584313651271741,-1.4726340475922628,0.3147907520853047,0,-2.821367678112219,-0.03267549051711427,0.015562340433374447
1681856771.5484483,60,111,165,127,-0.3320194070354665,0.2768774520294437,3.743779310069689,0.9993451658780896,0.015556740692326656,0.032668444332808105,0.02505621778581596,-0.9488860333209034,-0.31462276096746616,-0.0004558431248902223,6.287128564377377e-05,0.000769153243383071,-0.7507590212310662,-1.4520316831558369,0.3102597739334389,0,-2.821356431238283,-0.03267425790091605,0.015565677192764825
1681856771.569665,83,111,165,127,-0.3320249617078642,0.2768784250554516,3.7437811270909855,0.9993451541649976,0.015560092782769432,0.032667206178808375,0.025059305359911854,-0.9488823919404116,-0.31463349707289817,-0.00012896860322267459,3.4331911682239475e-05,-0.0003783007626467735,-0.7402244863995349,-1.4250326500643309,0.3045510745110748,0,-2.8213451274536934,-0.032673019085716286,0.01556903084933999
1681856771.5909624,131,111,165,127,-0.3320244308500025,0.2768788780521578,3.74376184078902,0.9993451423929728,0.015563457656863887,0.0326659633461459,0.02506240466708867,-0.9488787365549032,-0.31464427404018264,0.00012880324576555592,1.2563911231960047e-05,-0.0012576427033386152,-0.7274503811148524,-1.3932350524921913,0.29800794355461485,0,-2.8213337806040726,-0.032671775589405705,0.015572397295488547
1681856771.6127641,157,118,165,127,-0.33201864471722164,0.2768789107366851,3.743724617842208,0.9993451303273716,0.015566902214891185,0.032664691126671065,0.02506557732590033,-0.9488749944832524,-0.3146553061331196,0.0003489122864685101,-5.122826765732193e-06,-0.0019773389763137732,-0.7113012033513352,-1.353849082032038,0.2900687738276463,0,-2.8213221650936537,-0.03267050269064309,0.015575843462745103
1681856771.6345456,172,121,165,127,-0.3320086828873953,0.2768786225501947,3.7436742819218014,0.99934511825798,0.015570343585736909,0.03266342012965392,0.025068747005286975,-0.9488712557502272,-0.31466632793257737,0.0005225321774902613,-1.7903774686251794e-05,-0.002504540820444304,-0.6948311664850424,-1.3142642901908457,0.28221506502673244,0,-2.821310560376425,-0.03266923101504382,0.015579286441277809
1681856771.6559525,191,122,165,127,-0.33199590870286705,0.27687813868124955,3.7436164090929513,0.9993451063815204,0.015573725792766691,0.03266217102764763,0.025071862149076564,-0.9488675811726414,-0.3146771601625365,0.0006401150004249669,-2.508916870163609e-05,-0.0028107090190493,-0.6749077660771489,-1.266909739764689,0.2729400569625073,0,-2.8212991552111104,-0.03266798124619652,0.015582670228303513
1681856771.6773925,210,122,165,127,-0.3319812254307256,0.27687756520114176,3.743554447262613,0.9993450944721538,0.015577113250019875,0.03266092003048615,0.025074982086115083,-0.9488639007711452,-0.3146880091245089,0.0007081283516672688,-2.7176487571313238e-05,-0.0029162219948961504,-0.6491117922417102,-1.2062048927179911,0.26119584563057485,0,-2.8212877323855907,-0.03266672958123351,0.015586059267953829
1681856771.6988595,228,122,165,127,-0.3319657023271801,0.276877012154896,3.7434927374368576,0.9993450825332626,0.015580504978151643,0.032659667500028584,0.02507810591422184,-0.9488602156092728,-0.314698871681612,0.0007263671454152991,-2.4081295856552905e-05,-0.002818057934252397,-0.6219319476267621,-1.1427817280747463,0.24906292930999785,0,-2.8212762952024932,-0.03266547638220696,0.01558945258042629
1681856771.7133315,237,120,165,127,-0.33195531411951945,0.2768767068064537,3.743453508257187,0.99934507447641,0.01558279152755208,0.03265882312557388,0.02508021183355466,-0.9488577311722932,-0.3147061946783889,0.0007081007726932615,-1.8648029403674785e-05,-0.002621128265470853,-0.5982898174579508,-1.0879551068090951,0.2386673789336756,1,-2.8212685847969303,-0.032664631557075774,0.015591740197888384
1681856771.7362795,252,117,165,127,-0.33193988428897897,0.27687642816104785,3.743398925134088,0.9993456566389128,0.015578507648703931,0.032643049128098754,0.025071194372317463,-0.9488576279391864,-0.3147072244394241,0.0006458277760707968,-7.675911700066003e-06,-0.0022110157877856863,-0.5731418999601793,-1.0299145793071771,0.2277430294792656,0,-2.8212676703145934,-0.032648849144671484,0.01558744547441024
1681856771.7582912,252,114,165,127,-0.3319273508433842,0.2768765072308631,3.7433596620270944,0.9993462147981592,0.015574398557863203,0.03262791869170778,0.025062544804808164,-0.9488575288811638,-0.3147082120527503,0.0005159214615080381,1.1112241341747991e-05,-0.0014973657438122324,-0.5273066121453512,-0.924711502812308,0.20812452098184672,0,-2.8212667932069135,-0.03263371064431486,0.015583325989477852
1681856771.7798474,252,114,165,127,-0.331918359500715,0.2768770296064704,3.7433382132822532,0.9993467611657004,0.015570374527630796,0.032613101427102366,0.02505407425923297,-0.9488574318386211,-0.31470917909655816,0.000335765158189002,3.479019581224504e-05,-0.0005899335243976012,-0.4946100502983749,-0.8500322687842672,0.19432430073164736,0,-2.821265934315241,-0.03261888548990366,0.015579291787966331
1681856771.8005893,252,114,165,127,-0.3319137963361602,0.2768780529203375,3.743337590926753,0.9993472866735688,0.015566502496224602,0.03259884381709734,0.025045923642448484,-0.9488573384288752,-0.3147101094953392,0.0001301985541993265,6.048480617466792e-05,0.0003997123941971496,-0.4516174964599125,-0.7522047856739155,0.17638797379860602,0,-2.8212651079217506,-0.03260462029486488,0.01557540997662128
1681856771.821959,252,114,165,127,-0.33191432657093123,0.2768797479041623,3.743361678442388,0.9993478278574752,0.01556251328442481,0.032584154689330014,0.025037526333214682,-0.9488572421586292,-0.3147110679309427,-0.00013873694816485512,9.303028124973935e-05,0.0016574140236311882,-0.4126209771290536,-0.6637659355607023,0.16030049911240735,0,-2.821264256575755,-0.03258992335943822,0.015571410696233415
1681856771.8229606,252,114,165,127,-0.3319144991800641,0.2768798450987517,3.7433634939187983,0.999347853217046,0.015562326310460353,0.032583466210469925,0.02503713275146006,-0.9488572376456154,-0.31471111284973463,-0.00017233401010647838,9.703967031698884e-05,0.0018125827114082922,-0.40384825326975604,-0.6439038558856736,0.15670329055387716,1,-2.821264216674668,-0.03258923451480622,0.01557122325053754
