time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,R11,R21,R31,R12,R22,R32,vel.x,vel.y,vel.z,ang_vel_x,ang_vel_y,ang_vel_z,command_state_flag,roll,pitch,yaw
1681856774.6799958,158,127,138,127,-0.3174797464962765,0.5335465949560318,3.778528062227478,0.9999210831625388,0.002514183265744514,-0.012308790743267644,-0.0008692516619097764,-0.9635757875274223,-0.2674340032465137,-0.08992100333042308,-0.20112497053809672,2.3691732026145167,-1.42720299821495,-1.6702979099028654,0.556260916804704,0,-2.870842576018085,0.012309101574411008,0.002514376394078992
1681856774.7021608,157,127,151,127,-0.3204306547244588,0.5287233824913122,3.8148800920556254,0.9999651131833754,0.0021382252492728048,-0.008074677017839763,-0.00022505814163116173,-0.9594334435323468,-0.2819351286741261,-0.16021600655097185,-0.22949033237615785,1.1868862303365548,-1.715333397173986,-1.6979837667945736,0.5370841433560521,0,-2.8557726108255963,0.008074764765788391,0.002138296588754922
1681856774.7222528,157,127,157,127,-0.3243616290850309,0.5237066498391719,3.827041563998112,0.9999894860371744,0.001742280552639256,-0.004241730022454383,0.00041333178374292615,-0.9554902946539692,-0.2950222465830459,-0.21687723804621173,-0.26337085396788873,0.2606845224982882,-2.024615875163313,-1.7057109349617257,0.512711891760019,0,-2.8421110743742948,0.0042417427422851706,0.0017422971081307672
1681856774.7434585,157,128,158,127,-0.329611746604511,0.5175874711766609,3.8222788512300334,0.9999991760894326,0.0012675960544086759,-0.0002025356739820773,0.001143118967371177,-0.9511353414020424,-0.30877217428882303,-0.2666182567000769,-0.30623657128413034,-0.5204969751109451,-2.2097536699600107,-1.66250832726973,0.4810594275022184,0,-2.8276907898831376,0.0002025356753667662,0.0012675964198699534
1681856774.7698426,158,128,159,127,-0.3374257633930182,0.5085481646086053,3.797002960300397,0.999988240996371,0.0005957240016975118,0.004812793564844707,0.0021311857101420227,-0.9454412916662438,-0.32578554611881344,-0.3075317058550049,-0.35812606651171786,-1.122613859161539,-2.2585821415776395,-1.5385751359670514,0.4280733737425191,0,-2.8097461778118102,-0.004812812144813439,0.0005957309364265277
1681856774.772367,157,128,159,127,-0.338235103544911,0.5075899413362277,3.7937131076929047,0.9999858585671736,0.0005267249549180029,0.005291996456336478,0.0022303639410333406,-0.9448805437490166,-0.3274076717507587,-0.32063298439644866,-0.3796295408274352,-1.303542696059384,-2.188926046672421,-1.360229802929239,0.3622436717087938,1,-2.8080290787738647,-0.005292021157240923,0.0005267323549554688
1681856774.7941885,158,128,161,127,-0.34558632183239263,0.4985497537500843,3.7607953191636794,0.9990536113984833,-0.00042730866934209954,0.043493665733639705,0.01473982383035976,-0.9374583250951388,-0.3477853163997401,-0.34819705837527337,-0.4426728617705172,-1.6409297954048052,-1.8532884432988848,-0.93917328828152,0.21914429380767209,0,-2.7860333537146595,-0.04350739024040329,-0.0004277134263964483
1681856774.8155894,160,128,161,127,-0.35326605404487843,0.48824433438474296,3.7236416824539433,0.9967224003478716,-0.002177445439765648,0.08086850670151985,0.027755619854795827,-0.9297560015561572,-0.3671285920992573,-0.3652241960661708,-0.5101083936048808,-1.7800844770685151,-1.3177448914603382,-0.42012270501355786,0.05200765318218642,0,-2.764375214789439,-0.08095690994496918,-0.0021846022273215807
1681856774.8367689,162,128,161,127,-0.3611216498288544,0.4764755140932802,3.6861440313774154,0.9930381649510154,-0.004700335740132063,0.11769923446926013,0.04134139624008658,-0.9217350546752736,-0.38561039656587387,-0.3736037045381824,-0.5909836879240493,-1.7326428718343114,-0.5811750406400988,0.21661417178076384,-0.1454219255642227,0,-2.742796306022389,-0.11797269270362397,-0.004733252763455325
1681856774.8580663,163,128,161,127,-0.3690751146284637,0.4629003317905845,3.6517061168333464,0.9879587757984692,-0.008025943947547746,0.15450903386708711,0.05568455220330698,-0.9132847155565578,-0.403497532801248,-0.3722006737030053,-0.6718776616680618,-1.5110283656313783,0.5389509276935773,1.1194398495883515,-0.4147370250454649,0,-2.7208900657927435,-0.15513050039080234,-0.008123585307709544
1681856774.8866036,165,128,161,127,-0.37946419213038896,0.44168405572514463,3.617689748525207,0.9790085099415928,-0.013710911800471192,0.2033576857646195,0.07592866127438397,-0.9013843884603112,-0.4263109459503824,-0.3585069558548351,-0.7818922985009414,-0.9998539225945212,1.212595066693127,1.6424780648144748,-0.5651877804709425,0,-2.6911000678765205,-0.20478605062810892,-0.01400397990475578
1681856774.8884661,165,128,161,127,-0.38012134271540254,0.4401704562249189,3.616155078968327,0.9783395859480004,-0.014130494192781638,0.20652356693840893,0.07728933812613284,-0.9005855314131374,-0.4277523335077688,-0.35221248486994444,-0.8157275401985756,-0.8055651705686867,1.7622309103121316,2.0516742459815456,-0.677186274596685,1,-2.689135048074343,-0.2080205883448376,-0.014442338765079256
1681856774.9110525,165,128,161,127,-0.3878165432113696,0.4205830882971723,3.605080546413949,0.9814786722057758,-0.01217028155555282,0.19118446655532795,0.07224529032182063,-0.900779679635978,-0.4282249254553273,-0.3322354294215009,-0.9023348394914308,-0.2732179116979984,2.051210259022905,2.2356124247593843,-0.7203165511532453,0,-2.6901408464032537,-0.1923687307074977,-0.012399309527304959
1681856774.9349196,166,128,161,127,-0.3953607521964319,0.3977605644278033,3.6067728208070404,0.984530318928441,-0.0101058291843627,0.17492262097041428,0.06690826827429479,-0.900995309482624,-0.4286382343268577,-0.30525341832435,-0.9880584663739131,0.27861721581655285,1.937043218741702,2.0450559206621333,-0.6503473692733858,0,-2.691165207933514,-0.17582717688799487,-0.010264259096602495
1681856774.9556482,166,128,161,127,-0.4013802613596296,0.37657525673189024,3.6173798419527854,0.9869587050913708,-0.008319057825086091,0.1607585385641094,0.062268408012802576,-0.9011912696025804,-0.4289253326112145,-0.280254464608696,-1.0423228135537208,0.6552971127403278,1.3560413253309034,1.4663139206708984,-0.4751787245671187,0,-2.6920234878115483,-0.1614591392341309,-0.008428783062343915
1681856774.9770312,166,128,161,127,-0.4070299265156971,0.3537820900495104,3.6352796434370798,0.9892469728682184,-0.0064823340182706595,0.14611093736179534,0.05747859858554101,-0.9014018319009616,-0.4291514279950995,-0.25333540860215503,-1.0793241108825375,0.9462555121900752,0.5721244381854764,0.7257430806246828,-0.2603697274878336,0,-2.6928789280156,-0.14663586866863446,-0.006552702627853589
