time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,orient.x,orient.y,orient.z,orient.w,command_state_flag
1681856256.2356164,160,127,157,128,,,,,,,,0
1681856256.2398412,159,127,157,128,,,,,,,,0
1681856256.2439177,158,127,157,128,,,,,,,,0
1681856256.2486393,156,127,157,128,,,,,,,,0
1681856256.2525504,155,127,157,128,,,,,,,,0
1681856256.2569566,154,127,157,128,,,,,,,,0
1681856256.2612758,154,127,157,128,,,,,,,,0
1681856256.265166,151,127,157,128,,,,,,,,0
1681856256.2693791,150,127,157,128,,,,,,,,0
1681856256.2738516,148,127,156,128,,,,,,,,0
1681856256.2742214,,,,,-0.2662099126274248,0.16839218968214367,3.5535601863294395,0.983864607382518,0.007512975979607356,0.0001884034055656065,-0.17875668948638082,1
1681856256.2778828,146,127,155,128,,,,,,,,0
1681856256.294059,145,127,154,128,,,,,,,,0
1681856256.294075,143,127,154,128,,,,,,,,0
1681856256.2943707,142,127,153,128,,,,,,,,0
1681856256.2945113,141,127,153,128,,,,,,,,0
1681856256.2989163,140,127,151,128,,,,,,,,0
1681856256.303424,140,127,151,128,,,,,,,,0
1681856256.30752,139,127,149,128,,,,,,,,0
1681856256.3115146,139,127,149,128,,,,,,,,0
1681856256.3160233,139,127,148,128,,,,,,,,0
1681856256.3203673,139,127,148,128,,,,,,,,0
1681856256.3243668,139,127,146,128,,,,,,,,0
1681856256.3290367,139,127,146,128,,,,,,,,0
1681856256.3332157,139,127,145,128,,,,,,,,0
1681856256.3375783,139,127,144,128,,,,,,,,0
1681856256.341889,139,127,144,128,,,,,,,,0
1681856256.3455791,140,127,144,128,,,,,,,,0
1681856256.3499422,140,127,144,128,,,,,,,,0
1681856256.3544083,140,127,144,128,,,,,,,,0
1681856256.358819,141,127,144,128,,,,,,,,0
1681856256.3627458,141,127,144,128,,,,,,,,0
1681856256.3673131,141,127,144,128,,,,,,,,0
1681856256.3713472,141,127,144,128,,,,,,,,0
1681856256.375393,141,127,144,128,,,,,,,,0
1681856256.3794968,141,127,143,128,,,,,,,,0
1681856256.3836637,142,127,142,128,,,,,,,,0
1681856256.3878732,142,127,142,128,,,,,,,,0
1681856256.3919847,142,127,142,128,,,,,,,,0
1681856256.3961759,142,127,140,128,,,,,,,,0
1681856256.4004226,142,127,140,128,,,,,,,,0
1681856256.4062161,142,127,140,128,,,,,,,,0
1681856256.410607,142,127,140,128,,,,,,,,0
1681856256.4131813,142,127,139,128,,,,,,,,0
1681856256.4175997,142,127,139,128,,,,,,,,0
1681856256.4207296,,,,,-0.2662150194541559,0.16839436581273703,3.553576495241065,0.9838628617158345,0.007513388633931872,0.00016786898492460398,-0.17876630036885657,1
1681856256.42236,143,127,139,128,,,,,,,,0
1681856256.4262385,143,127,139,128,,,,,,,,0
1681856256.4306822,143,127,139,128,,,,,,,,0
1681856256.4351232,143,127,139,128,,,,,,,,0
1681856256.4397054,144,127,138,128,,,,,,,,0
1681856256.4436367,145,127,139,128,,,,,,,,0
1681856256.4476922,145,127,139,128,,,,,,,,0
1681856256.4519913,146,127,139,128,,,,,,,,0
1681856256.4564815,148,127,139,128,,,,,,,,0
1681856256.4606059,148,127,139,128,,,,,,,,0
1681856256.464944,148,127,139,128,,,,,,,,0
