time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,R11,R21,R31,R12,R22,R32,vel.x,vel.y,vel.z,ang_vel_x,ang_vel_y,ang_vel_z,command_state_flag,roll,pitch,yaw
1681856256.2989163,140,127,151,128,-0.266210082865921,0.1683980906038781,3.553520154444003,0.9998870398863332,0.0147175148631406,0.0030499546880659,0.0148497546792745,-0.9359780418843816,-0.3517450637837641,-1.7363635696507837e-05,0.0001869498036452,-0.0011881417060534,-1.7165451638205427e-05,-0.0007276768655473,8.261075846827439e-05,0,-2.782156260109781,-0.0030499594166457,0.0147181146907844
1681856256.320367,139,127,148,128,-0.2662106834403142,0.1684008259772691,3.553505058976262,0.9998870402766724,0.0147187042760148,0.003044081337881,0.0148487953593393,-0.9359770338950107,-0.3517477864855363,-3.4198439404016726e-05,9.030662094289896e-05,-0.000403970573813,7.457887503284501e-05,-0.0004560386882807,5.9645439375117855e-05,0,-2.782153358245928,-0.0030440860391955,0.0147193039745993
1681856256.341889,139,127,144,128,-0.2662115669372779,0.1684016956907978,3.5535047707992704,0.9998870406319555,0.0147198976450534,0.0030381885374755,0.0148478328445656,-0.9359760225604516,-0.3517505181968277,-4.476914184880896e-05,9.335930738907176e-06,0.000225590979701,0.0002322758697146,1.0872857719235048e-05,2.0169872926789226e-05,0,-2.7821504467636164,-0.0030381932115401,0.0147204972146416
1681856256.3627458,141,127,144,128,-0.2662125635840103,0.1684010701525854,3.553515510492316,0.9998870409415233,0.0147210541589953,0.0030324778074426,0.0148469000515415,-0.9359750424663762,-0.3517531654995088,-4.899775463483807e-05,-5.4387004879763e-05,0.0006892863006241,0.0004759844180767,0.0007324479647768,-4.083831197948925e-05,0,-2.782147625229383,-0.0030324824551999,0.0147216536040417
1681856256.3836637,142,127,142,128,-0.2662135764658628,0.1683993080573946,3.5535340574420795,0.9998870412176531,0.0147222140730403,0.0030267503688031,0.0148459645123675,-0.9359740594979836,-0.3517558205411288,-4.724734082317972e-05,-0.0001023806592771,0.0010002016666917,0.0006969519674668,0.0013859840091922,-9.618013629708242e-05,0,-2.782144795431675,-0.0030267549902753,0.0147228133936442
1681856256.406216,142,127,140,128,-0.2662145403028515,0.1683964966388169,3.5535592222304717,0.9998870414768276,0.0147234646312466,0.0030205754367852,0.0148449558590871,-0.9359729997212424,-0.3517586830177204,-3.911361944064841e-05,-0.0001366284692884,0.0011686087780728,0.0009603179218919,0.0020269446825431,-0.0001670351365013,0,-2.7821417445284764,-0.00302058003003,0.0147240638182054
1681856256.4207296,142,127,139,128,-0.2662150194541559,0.168394365812737,3.553576495241065,0.9998870416224788,0.0147242694503634,0.0030166014984453,0.01484430671989,-0.9359723176873346,-0.3517605251886646,-2.915033412130185e-05,-0.0001514040344416,0.0011911485135602,0.0011093831420915,0.0021850236602845,-0.0002143970110962,1,-2.7821397810846427,-0.003016606073585,0.0147248685515992
1681856256.443637,145,127,139,128,-0.2662154341382376,0.1683907850007415,3.5536025771783493,0.9998870667195698,0.0147140928409024,0.0030576590398547,0.0148491661969941,-0.9359635817244656,-0.3517835640685385,-9.09931264171606e-06,-0.0001574950931967,0.0010766372339898,0.0012313878519872,0.0018361872005046,-0.0002701075059744,0,-2.782115122159873,-0.0030576638043591,0.0147146926282664
1681856256.464944,148,127,139,128,-0.2662153189051836,0.1683875321440016,3.5536224211445524,0.9998870884714852,0.0147046262224156,0.0030958481351261,0.0148536871192724,-0.9359554555640948,-0.3518049931123361,1.596736620494913e-05,-0.0001473869609265,0.0008136492629598,0.001239403866809,0.0009757906539914,-0.0003034343625571,0,-2.782092185491563,-0.003095853080391,0.0147052266692039
1681856256.4860034,152,127,138,128,-0.2662145983970564,0.1683847244971961,3.5536345694731857,0.9998871084630676,0.0146952686758121,0.0031335934502432,0.0148581564034944,-0.9359474233352209,-0.3518261729042487,4.715945031202165e-05,-0.0001219108756943,0.0003991878171014,0.0012003815042802,0.0002066319324769,-0.0003142782874241,0,-2.7820695148723567,-0.0031335985786045,0.0146958697944275
