time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,R11,R21,R31,R12,R22,R32,vel.x,vel.y,vel.z,ang_vel_x,ang_vel_y,ang_vel_z,command_state_flag,roll,pitch,yaw
1681856771.6080618,153,117,165,127,-0.3320202857921557,0.2768789348195536,3.743733916978231,0.9993451329310272,0.0155661592698078,0.0326649655235544,0.0250648930295523,-0.9488758016085332,-0.3146529266655257,0.0003086682312742,-1.98015617271177e-06,-0.0018489037190852,-0.7140568046749092,-1.3605226760703153,0.2914040391437777,0,-2.821324670399991,-0.0326707772340331,0.0155751001705771
1681856771.7115395,237,121,165,127,-0.33195658317582,0.2768767402268512,3.743458205827512,0.999345075474516,0.01558250836488,0.0326589276904904,0.0250799510408744,-0.9488580388440152,-0.3147052878120676,0.0007138399378256,-1.9956256132545146e-05,-0.002669211722705,-0.6013249742158369,-1.0949784217849616,0.2399947549733773,0,-2.8212695396403054,-0.0326647361778016,0.0155914569029505
1681856771.7133317,237,120,165,127,-0.3319553141195194,0.2768767068064537,3.743453508257187,0.9993450744764102,0.0155827915275519,0.0326588231255738,0.0250802118335545,-0.9488577311722936,-0.314706194678389,0.0007081026896151,-1.864777264024557e-05,-0.0026211305043811,-0.5982899466170003,-1.08795540136725,0.2386674737167681,1,-2.8212685847969303,-0.0326646315570757,0.0155917401978882
1681856771.8173633,252,114,165,127,-0.3319137120524648,0.276879323138006,3.743354168417052,0.9993477114957168,0.0155633711618547,0.0325873135798545,0.0250393321715593,-0.9488572628643628,-0.3147108618302707,-4.7654067945529074e-05,8.210238839959468e-05,0.0012347269785216,-0.4309061942063042,-0.7052029205526891,0.1678236359013671,0,-2.8212644396522912,-0.0325930839284021,0.0155722707382794
1681856771.8229604,252,114,165,127,-0.3319144991800641,0.2768798450987517,3.7433634939187983,0.999347853217046,0.0155623263104602,0.0325834662104698,0.0250371327514599,-0.9488572376456156,-0.3147111128497346,-0.0001723328058696,9.70395434359532e-05,0.0018125772028274,-0.4038484143983156,-0.6439042042324767,0.1567034005863337,1,-2.821264216674668,-0.0325892345148062,0.0155712232505374
1681856771.9127495,252,114,165,127,-0.3319584272807762,0.2768905780559441,3.743632393436344,0.9993495585039068,0.0155635275174137,0.0325305476323622,0.0250194100110068,-0.9488838955893422,-0.3146321372871745,-0.000483350414131,8.896529503675233e-05,0.0024216139939359,-0.1850205411231549,-0.1511111161856776,0.069144667447668,1,-2.821348039938902,-0.0325362878686235,0.0155723983814882
1681856772.0175393,252,123,164,127,-0.3319900950489332,0.2768966097107445,3.743748922524434,0.9993418887494724,0.0155469708152257,0.0327731763658712,0.0250772635634887,-0.9489181510513968,-0.3145242017037261,-0.0003237821559253,9.150181416332964e-05,0.0012358238129354,0.1145109499818408,0.5202311842429194,-0.045314429709068,0,-2.8214591858251983,-0.032779046044838,0.0155559542848808
1681856772.0198548,252,123,164,127,-0.3319908821886495,0.2768968383969228,3.743752043561828,0.9993417185986492,0.0155466052602621,0.0327785376913081,0.0250785416380363,-0.948918907870949,-0.3145218164679762,-0.0003399406157969,9.876228917867276e-05,0.0013478768149795,0.1293523964764392,0.5535125314784157,-0.0508481361227749,1,-2.8214616417621525,-0.0327844102523173,0.0155555912258043
1681856772.1117256,252,126,164,127,-0.3320199522045058,0.2769079697412396,3.74389763049767,0.9993385123430124,0.0155437276058083,0.0328775041657846,0.025104753643646,-0.9489453645424376,-0.3144398932354356,-4.269834006475815e-05,6.459056203528137e-05,0.0004659711260636,0.4642221678471236,1.3076015742797895,-0.1726859602844523,1,-2.821546917152097,-0.0328834300970188,0.0155527622633273
1681856772.2159424,243,126,164,127,-0.3319918288785204,0.27689208430486,3.743774096609649,0.999340285087466,0.0155441168900321,0.0328233915281627,0.0250918234954632,-0.9489006310405848,-0.3145758935526572,0.0002915591830317,-0.0004038486488936,-0.0016159038154823,0.888247944627966,2.279836520801235,-0.3200075829881834,0,-2.821404150632472,-0.0328292882378589,0.015553124125492
